resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
479,41,1,1,2,1,1,1,1,10,70,44:11.3,6251292,37,2,01:16.5,205.239,1
483,41,8,6,6,4,5,5,5,4,70,13.007,6264299,21,5,01:16.9,204.259,1
485,41,4,1,1,2,7,7,7,2,70,21.936,6273228,46,1,01:16.4,205.58,1
488,41,3,3,16,7,10,10,10,0,70,23.984,6275276,42,6,01:17.2,203.478,1
501,42,1,1,2,1,1,1,1,10,73,31:10.0,5469965,20,2,01:13.2,206.101,1
502,42,4,1,1,2,2,2,2,8,73,1.5,5471465,21,3,01:13.3,206.003,1
504,42,8,6,6,4,4,4,4,5,73,15.4,5485365,49,1,01:13.1,206.397,1
508,42,20,2,10,7,8,8,8,1,73,67.7,5537665,53,6,01:13.9,204.316,1
523,43,8,6,6,3,1,1,1,10,70,30:54.2,5454200,20,2,01:16.2,208.374,1
525,43,1,1,2,2,3,3,3,6,70,32.153,5486353,39,4,01:16.6,207.34,1
529,43,4,1,1,10,7,7,7,2,70,56.516,5510716,36,3,01:16.5,207.59,1
530,43,18,11,7,12,8,8,8,1,70,58.885,5513085,70,6,01:16.8,206.846,1
531,43,3,3,16,9,9,9,9,0,70,+1:08.505,5522705,69,9,01:17.0,206.199,1
545,44,8,6,6,2,1,1,1,10,59,21:43.1,4903074,17,1,01:20.6,229.514,1
546,44,4,1,1,3,2,2,2,8,59,2.459,4905533,35,3,01:21.1,228.159,1
547,44,1,1,2,1,3,3,3,6,59,39.373,4942447,11,4,01:21.7,226.6,1
567,45,4,1,1,2,1,1,1,10,60,06:26.4,7586358,35,2,01:33.2,198.783,1
589,46,1,1,2,1,1,1,1,10,70,35:53.0,5752991,13,2,01:20.2,196.724,1
590,46,8,6,6,3,2,2,2,8,70,0.715,5753706,70,1,01:20.0,197.029,1
592,46,4,1,1,6,4,4,4,5,70,44.858,5797849,49,3,01:20.3,196.349,1
595,46,3,3,16,4,7,7,7,2,70,59.139,5812130,68,6,01:20.7,195.502,1
612,47,8,6,6,3,2,2,2,8,58,2.275,5204436,57,1,01:27.3,220.136,1
613,47,4,1,1,4,3,3,3,6,58,26.181,5228342,39,4,01:28.1,218.199,1
615,47,1,1,2,2,5,5,5,4,58,45.085,5247246,17,3,01:28.0,218.464,1
617,47,3,3,16,8,7,7,7,2,58,55.778,5257939,37,6,01:28.5,217.05,1
633,48,4,1,1,1,1,1,1,10,53,18:37.8,4717806,15,1,01:22.9,251.653,1
634,48,1,1,2,2,2,2,2,8,53,6.062,4723868,17,2,01:22.9,251.456,1
635,48,8,6,6,5,3,3,3,6,53,27.325,4745131,21,3,01:23.4,250.147,1
638,48,3,3,16,8,6,6,6,3,53,+1:05.810,4783616,52,8,01:24.5,246.884,1
640,48,18,11,7,10,8,8,8,1,53,+1:02.168,4779974,32,9,01:24.5,246.708,1
655,49,8,6,6,1,1,1,1,10,44,20:39.1,4839066,12,2,01:48.1,233.261,1
657,49,4,1,1,3,3,3,3,6,44,14.343,4853409,44,3,01:48.2,233.073,1
658,49,1,1,2,4,4,4,4,5,44,23.615,4862681,41,4,01:48.2,233.002,1
660,49,3,3,16,5,6,6,6,3,44,+1:16.876,4915942,29,9,01:49.8,229.704,1
677,50,1,1,2,1,1,1,1,10,67,00:34.6,7234579,27,1,01:28.2,186.259,1
679,50,8,6,6,3,3,3,3,6,67,9.478,7244057,29,8,01:29.6,183.295,1
699,51,8,6,6,2,1,1,1,10,56,37:58.4,5878395,52,3,01:38.3,199.66,1
700,51,4,1,1,4,2,2,2,8,56,9.806,5888201,54,2,01:38.0,200.259,1
702,51,20,5,19,17,4,4,4,5,56,53.509,5931904,52,13,01:39.9,196.452,1
703,51,18,11,7,10,5,5,5,4,56,+1:08.666,5947061,39,5,01:38.9,198.392,1
721,52,8,6,6,3,1,1,1,10,71,28:15.3,5295270,66,1,01:12.4,214.126,1
723,52,4,1,1,4,3,3,3,6,71,57.019,5352289,59,6,01:13.2,212.062,1
724,52,3,3,16,10,4,4,4,5,71,+1:02.848,5358118,56,7,01:13.2,212.036,1
743,53,4,4,1,4,1,1,1,10,57,29:46.2,5386205,21,3,01:32.5,210.551,1
744,53,30,6,5,1,2,2,2,8,57,1.246,5387451,38,2,01:32.5,210.576,1
745,53,8,1,3,22,3,3,3,6,57,19.36,5405565,29,8,01:32.9,209.803,1
746,53,18,11,12,3,4,4,4,5,57,19.992,5406197,39,5,01:32.7,210.109,1
749,53,3,3,10,12,7,7,7,2,57,+1:03.043,5449248,42,1,01:32.4,210.838,1
766,54,4,4,1,7,2,2,2,8,56,4.585,5445114,45,1,01:34.8,210.487,1
767,54,18,11,12,2,3,3,3,6,56,9.631,5450160,35,4,01:35.6,208.723,1
770,54,30,6,5,14,6,6,6,3,56,43.854,5484383,44,5,01:35.6,208.629,1
771,54,35,2,17,10,7,7,7,2,56,+1:20.461,5520990,43,9,01:36.0,207.858,1
787,55,4,4,1,3,1,1,1,10,57,34:27.9,5667870,49,2,01:26.2,221.499,1
788,55,8,1,3,4,2,2,2,8,57,1.8,5669670,57,1,01:26.0,221.869,1
792,55,35,2,17,19,6,6,6,3,57,49.5,5717370,56,13,01:28.3,216.152,1
809,56,30,6,5,1,1,1,1,10,62,31:06.5,5466486,19,2,01:24.6,210.961,1
810,56,4,4,1,5,2,2,2,8,62,2.096,5468582,23,1,01:24.6,211.098,1
813,56,8,1,3,8,5,5,5,4,62,17.524,5484010,49,3,01:25.0,209.961,1
815,56,18,11,12,2,7,7,7,2,62,39.635,5506121,29,6,01:25.3,209.174,1
819,56,3,3,10,13,11,11,11,0,62,+1:19.675,5546161,30,15,01:26.4,206.581,1
820,56,35,2,17,12,12,12,12,0,62,+1:22.370,5548856,53,8,01:25.4,208.951,1
831,57,30,6,5,2,1,1,1,10,60,35:58.8,5758765,39,1,01:32.1,201.226,1
832,57,4,4,1,1,2,2,2,8,60,3.751,5762516,37,3,01:32.5,200.285,1
834,57,8,1,3,5,4,4,4,5,60,4.879,5763644,43,2,01:32.5,200.415,1
837,57,3,3,10,22,7,7,7,2,60,+1:14.565,5833330,48,7,01:33.6,198.044,1
838,57,35,2,17,9,8,8,8,1,60,+1:29.364,5848129,38,12,01:34.0,197.079,1
853,58,4,4,1,1,1,1,1,10,66,26:21.8,5181759,39,2,01:16.7,217.108,1
854,58,30,6,5,3,2,2,2,8,66,18.502,5200261,43,3,01:16.9,216.546,1
857,58,8,1,3,9,5,5,5,4,66,56.875,5238634,40,5,01:17.4,215.328,1
858,58,18,11,12,8,6,6,6,3,66,58.347,5240106,40,6,01:17.4,215.301,1
875,59,4,4,1,1,1,1,1,10,78,43:43.1,6223116,11,3,01:15.7,158.898,1
879,59,30,6,5,22,5,5,5,4,78,53.83,6276946,74,1,01:15.1,160.014,1
897,60,4,4,1,1,1,1,1,10,60,25:51.9,5151927,21,1,01:21.6,226.811,1
898,60,30,6,5,3,2,2,2,8,60,13.951,5165878,53,2,01:21.9,225.884,1
899,60,8,1,3,2,3,3,3,6,60,18.672,5170599,15,5,01:22.5,224.44,1
904,60,35,2,17,10,8,8,8,1,60,+1:18.299,5230226,46,10,01:22.9,223.195,1
905,60,3,3,10,12,9,9,9,0,60,+1:19.008,5230935,47,9,01:22.9,223.209,1
919,61,4,4,1,1,1,1,1,10,70,34:37.3,5677308,22,2,01:15.9,206.815,1
920,61,30,6,5,5,2,2,2,8,70,2.1,5679408,68,3,01:16.0,206.592,1
921,61,8,1,3,3,3,3,3,6,70,8.8,5686108,22,1,01:15.8,207.006,1
941,62,30,6,5,1,1,1,1,10,73,34:35.2,5675199,56,1,01:12.7,207.527,1
945,62,4,4,1,5,5,5,5,4,73,28.41,5703609,72,6,01:13.3,205.837,1
963,63,30,6,5,1,1,1,1,10,70,32:07.8,5527803,46,1,01:17.1,205.931,1
964,63,4,4,1,3,2,2,2,8,70,10.1,5537903,23,5,01:17.8,204.186,1
967,63,8,1,3,6,5,5,5,4,70,33,5560803,30,4,01:17.7,204.325,1
985,64,30,6,5,2,1,1,1,10,67,27:51.7,5271693,17,1,01:16.4,215.65,1
987,64,8,1,3,1,3,3,3,6,67,13.2,5284893,4,3,01:16.5,215.317,1
988,64,18,11,12,4,4,4,4,5,67,18.8,5290493,14,7,01:16.8,214.356,1
989,64,4,4,1,7,5,5,5,4,67,23.7,5295393,66,9,01:17.3,213.14,1
1007,65,18,11,12,14,1,1,1,10,70,52:20.9,6740941,57,4,01:25.1,185.236,1
1030,66,4,4,1,3,2,2,2,8,58,5.575,5336657,38,3,01:28.2,217.766,1
1031,66,30,6,5,2,3,3,3,6,58,5.656,5336738,55,1,01:28.0,218.36,1
1032,66,18,11,12,6,4,4,4,5,58,12.334,5343416,58,4,01:28.5,217.202,1
1051,67,30,6,5,2,1,1,1,10,53,14:52.0,4491975,14,2,01:22.6,252.555,1
1052,67,8,1,3,1,2,2,2,8,53,8.046,4500021,13,1,01:22.6,252.604,1
1055,67,18,11,12,5,5,5,5,4,53,32.685,4524660,51,7,01:23.5,249.704,1
1073,68,30,6,5,6,1,1,1,10,56,37:32.7,5852747,50,2,01:38.6,199.117,1
1074,68,4,4,1,1,2,2,2,8,56,3.121,5855868,49,1,01:37.6,201.09,1
1076,68,18,11,12,4,4,4,4,5,56,72.056,5924803,51,5,01:39.2,197.806,1
1095,69,4,4,1,5,1,1,1,10,53,23:52.4,5032413,14,1,01:32.7,225.572,1
1098,69,18,11,12,7,4,4,4,5,53,34.101,5066514,35,5,01:33.5,223.702,1
1099,69,8,1,3,11,5,5,5,4,53,43.596,5076009,24,4,01:33.3,223.958,1
1118,70,4,4,1,4,2,2,2,8,71,18.658,5532409,70,3,01:13.0,212.612,1
1119,70,18,11,12,14,3,3,3,6,71,19.394,5533145,71,4,01:13.1,212.344,1
1120,70,30,6,5,10,4,4,4,5,71,24.094,5537845,70,1,01:12.2,214.966,1
1121,70,8,1,3,2,5,5,5,4,71,28.503,5542254,58,6,01:13.3,211.683,1
1141,71,4,4,5,13,3,3,3,6,57,6.712,5064048,24,1,01:25.7,222.807,1
1146,71,8,1,9,10,8,8,8,1,57,39.633,5096969,55,4,01:26.3,221.329,1
1159,72,4,4,5,1,1,1,1,10,56,31:33.7,5493736,18,4,01:35.9,208.081,1
1165,72,30,6,1,13,7,7,7,2,56,+1:19.988,5573724,41,12,01:37.0,205.757,1
1167,72,8,1,9,6,9,9,9,0,56,+1:21.580,5575316,23,1,01:35.5,208.987,1
1179,73,4,4,5,1,1,1,1,10,57,29:18.5,5358531,39,2,01:31.7,212.436,1
1181,73,8,1,9,9,3,3,3,6,57,32.063,5390594,41,3,01:31.8,212.184,1
1199,74,4,4,5,2,1,1,1,10,62,27:41.9,5261921,22,4,01:23.1,213.619,1
1200,74,30,6,1,13,2,2,2,8,62,0.215,5262136,48,1,01:21.9,216.946,1
1202,74,35,15,11,11,4,4,4,5,62,+1:04.442,5326363,45,10,01:24.0,211.371,1
1219,75,8,1,9,1,1,1,1,10,66,27:16.8,5236830,41,4,01:16.0,219.24,1
1220,75,4,4,5,3,2,2,2,8,66,27.652,5264482,59,5,01:16.1,218.891,1
1237,76,8,1,9,1,1,1,1,10,78,45:15.6,6315556,41,2,01:15.9,158.375,1
1240,76,4,4,5,2,4,4,4,5,78,36.487,6352043,19,3,01:16.6,156.971,1
1243,76,30,6,1,8,7,7,7,2,78,37.223,6352779,40,1,01:15.8,158.54,1
1255,77,4,4,5,6,1,1,1,10,59,31:46.6,5506648,44,1,01:30.7,204.305,1
1259,77,30,6,1,10,5,5,5,4,59,50.445,5557093,19,6,01:31.5,202.537,1
1264,77,18,16,3,13,10,10,10,0,59,+1:35.786,5602434,20,12,01:32.0,201.542,1
1275,78,8,1,9,7,1,1,1,10,70,32:09.3,5529290,23,1,01:14.4,211.061,1
1276,78,30,6,1,2,2,2,2,8,70,1.1,5530390,32,4,01:14.9,209.697,1
1295,79,30,6,1,5,1,1,1,10,73,29:43.2,5383181,48,1,01:11.5,211.074,1
1315,80,4,4,5,1,1,1,1,10,70,31:22.2,5482232,5,2,01:16.5,207.571,1
1316,80,8,1,9,13,2,2,2,8,70,11.8,5494032,25,1,01:16.4,207.785,1
1317,80,30,6,1,3,3,3,3,6,70,+1:21.9,5564132,22,7,01:17.7,204.333,1
1336,81,4,4,5,1,2,2,2,8,60,2.7,5072288,40,4,01:21.2,227.847,1
1337,81,8,1,9,12,3,3,3,6,60,14.4,5083988,60,1,01:20.5,229.902,1
1339,81,18,16,3,2,5,5,5,4,60,40.3,5109888,42,7,01:22.0,225.721,1
1340,81,30,6,1,9,6,6,6,3,60,+1:15.3,5144888,23,5,01:21.7,226.6,1
1355,82,4,4,5,3,1,1,1,10,67,26:28.6,5188599,21,2,01:15.2,218.866,1
1357,82,18,16,3,2,3,3,3,6,67,24.422,5213021,19,3,01:15.8,217.111,1
1359,82,30,6,1,5,5,5,5,4,67,51.69,5240289,18,7,01:16.1,216.381,1
1375,83,8,1,9,4,1,1,1,10,70,37:25.6,5845552,40,1,01:21.2,194.186,1
1376,83,30,6,1,1,2,2,2,8,70,35.581,5881133,13,3,01:21.5,193.573,1
1379,83,18,16,3,8,5,5,5,4,70,58.832,5904384,70,8,01:22.4,191.388,1
1395,84,8,1,9,1,1,1,1,10,58,24:34.5,5074454,40,2,01:25.0,226,1
1396,84,4,4,5,3,2,2,2,8,58,18.609,5093063,58,3,01:25.5,224.694,1
1399,84,18,16,3,13,5,5,5,4,58,39.304,5113758,58,5,01:25.8,223.998,1
1416,85,4,4,5,2,2,2,2,8,53,2.479,4471138,16,3,01:22.1,253.874,1
1418,85,8,1,9,11,4,4,4,5,53,22.775,4491434,51,1,01:21.5,255.874,1
1422,85,18,16,3,3,8,8,8,1,53,+1:03.635,4532294,16,9,01:23.2,250.776,1
1424,85,30,6,1,6,10,10,10,0,53,+1:36.070,4564729,5,13,01:23.6,249.507,1
1435,86,8,1,9,2,1,1,1,10,44,30:01.3,5401295,34,6,01:53.8,220.662,1
1436,86,4,4,5,4,2,2,2,8,44,28.3,5429595,31,10,01:56.1,216.252,1
1437,86,18,16,3,8,3,3,3,6,44,32,5433295,44,5,01:53.3,221.61,1
1440,86,35,15,11,14,6,6,6,3,44,+1:27.4,5488695,44,7,01:54.3,219.81,1
1456,87,8,1,9,5,2,2,2,8,71,2.527,5363101,29,1,01:12.3,214.651,1
1457,87,4,4,5,1,3,3,3,6,71,24.84,5385414,21,3,01:12.7,213.513,1
1458,87,30,6,1,7,4,4,4,5,71,35.668,5396242,25,4,01:12.8,213.082,1
1475,88,8,1,9,17,1,1,1,10,53,29:02.2,5342212,44,1,01:31.5,228.372,1
1477,88,4,4,5,16,3,3,3,6,53,17.456,5359668,21,2,01:31.6,228.225,1
1479,88,18,16,3,2,5,5,5,4,53,29.507,5371719,19,4,01:32.8,225.383,1
1481,88,30,6,1,14,7,7,7,2,53,33.879,5376091,25,5,01:32.8,225.361,1
1486,88,35,15,11,8,12,12,12,0,53,+1:23.221,5425433,50,11,01:33.3,224.093,1
1495,89,4,4,5,1,1,1,1,10,56,39:53.6,5993618,45,2,01:33.5,209.797,1
1496,89,8,1,9,3,2,2,2,8,56,4,5997618,56,1,01:33.2,210.458,1
1502,89,18,16,3,4,8,8,8,1,56,41.2,6034818,53,12,01:34.8,207.074,1
1504,89,35,15,11,16,10,10,10,0,56,59.9,6053518,53,11,01:34.7,207.19,1
1515,90,30,6,1,1,1,1,1,10,58,24:15.8,5055757,29,1,01:24.1,226.933,1
1517,90,4,4,8,5,3,3,3,6,58,34.673,5090430,10,3,01:25.1,224.365,1
1520,90,18,16,9,4,6,6,6,3,58,+1:10.598,5126355,24,7,01:26.0,222.032,1
1535,91,30,6,1,1,1,1,1,10,56,31:07.5,5467490,6,2,01:34.8,210.451,1
1537,91,18,16,9,6,3,3,3,6,56,11.568,5479058,28,3,01:35.0,210.123,1
1541,91,4,4,8,19,7,7,7,2,56,+1:07.877,5535367,7,10,01:35.9,208.105,1
1555,92,30,6,1,1,1,1,1,10,57,28:34.9,5314875,7,1,01:30.3,216.074,1
1557,92,18,16,9,6,3,3,3,6,57,26.687,5341562,24,5,01:31.0,214.393,1
1560,92,4,4,8,16,6,6,6,3,57,53.156,5368031,39,2,01:30.7,215.116,1
1575,93,30,6,1,2,1,1,1,10,62,26:19.7,5179670,10,1,01:20.4,220.85,1
1576,93,18,16,9,1,2,2,2,8,62,9.702,5189372,28,2,01:21.2,218.701,1
1578,93,4,4,8,6,4,4,4,5,62,23.654,5203324,59,3,01:21.6,217.499,1
1595,94,30,6,1,1,1,1,1,10,66,27:32.8,5252841,12,1,01:17.5,215.07,1
1598,94,4,4,8,8,4,4,4,5,66,32.952,5285793,27,3,01:17.6,214.776,1
1616,95,18,16,9,2,2,2,2,8,77,0.497,6347098,40,3,01:15.2,159.851,1
1635,96,30,6,1,1,1,1,1,10,60,32:35.1,5555101,7,1,01:29.5,207.144,1
1637,96,18,16,9,5,3,3,3,6,60,22.533,5577634,13,4,01:30.5,204.879,1
1639,96,4,4,8,6,5,5,5,4,60,+1:00.987,5616088,29,5,01:31.1,203.511,1
1655,97,30,6,1,6,1,1,1,10,70,28:24.8,5304803,18,2,01:13.6,213.222,1
1657,97,18,16,9,2,3,3,3,6,70,20.409,5325212,68,5,01:14.2,211.453,1
1675,98,30,6,1,2,1,1,1,10,73,40:29.9,6029914,8,2,01:10.4,214.327,1
1695,99,30,6,1,2,1,1,1,10,70,30:18.1,5418133,32,1,01:15.4,210.669,1
1696,99,4,4,8,1,2,2,2,8,70,8.329,5426462,34,2,01:15.6,210.183,1
1699,99,18,16,9,4,5,5,5,4,70,32.482,5450615,50,5,01:16.0,209.021,1
1701,99,8,1,6,9,7,7,7,2,70,36.23,5454363,30,3,01:15.8,209.518,1
1715,100,30,6,1,4,1,1,1,10,60,24:42.7,5082700,14,1,01:18.7,235.049,1
1716,100,8,1,6,1,2,2,2,8,60,2.13,5084830,10,4,01:19.6,232.641,1
1718,100,18,16,9,3,4,4,4,5,60,10.683,5093383,10,3,01:19.5,232.835,1
1724,100,4,4,8,16,10,10,10,0,60,24.835,5107535,39,8,01:20.4,230.073,1
1735,101,30,6,1,1,1,1,1,10,66,23:54.8,5034848,5,2,01:13.8,223.173,1
1736,101,18,16,9,13,2,2,2,8,66,8.388,5043236,11,3,01:14.1,222.167,1
1737,101,4,4,8,5,3,3,3,6,66,16.351,5051199,8,5,01:14.3,221.724,1
1755,102,30,6,1,1,1,1,1,10,70,35:26.1,5726131,29,1,01:19.1,199.461,1
1757,102,4,4,8,5,3,3,3,6,70,44.599,5770730,49,3,01:20.3,196.469,1
1759,102,18,16,9,4,5,5,5,4,70,+1:07.439,5793570,47,4,01:20.4,196.103,1
1775,103,8,1,6,10,1,1,1,10,44,32:35.3,5555274,42,1,01:45.1,238.931,1
1776,103,30,6,1,2,2,2,2,8,44,3.132,5558406,28,2,01:45.5,238.036,1
1796,104,30,6,1,3,2,2,2,8,53,1.347,4519795,35,2,01:21.4,256.324,1
1797,104,18,16,9,6,3,3,3,6,53,10.197,4528645,13,6,01:22.7,252.262,1
1816,105,18,16,9,3,2,2,2,8,56,1.035,5353455,33,4,01:32.9,211.154,1
