constructorStandingsId,raceId,constructorId,points,position,positionText,wins
25906,51,9,24,5,5,0
25904,51,11,6,8,8,0
25902,51,3,28,4,4,0
25901,51,4,51,3,3,0
25900,51,2,94,2,2,0
25899,51,1,210,11,E,8
25918,52,5,8,7,7,0
25917,52,9,24,5,5,0
25915,52,11,6,8,8,0
25913,52,3,33,4,4,0
25912,52,4,51,3,3,0
25911,52,2,101,2,2,0
25910,52,1,118,11,E,8
6324,53,2,0,8,8,0
6323,53,5,0,7,7,0
6322,53,9,1,6,6,0
6321,53,3,5,5,5,0
6320,53,11,5,4,4,0
6319,53,1,10,2,2,0
6318,53,6,8,3,3,0
6317,53,4,10,1,1,1
6335,54,2,2,6,6,0
6334,54,5,0,9,9,0
6333,54,9,1,8,8,0
6332,54,3,5,5,5,0
6331,54,11,11,4,4,0
6330,54,1,15,3,3,0
6329,54,6,15,2,2,0
6328,54,4,28,1,1,2
6346,55,2,10,5,5,0
6345,55,5,0,9,9,0
6344,55,9,2,8,8,0
6343,55,3,5,7,7,0
6342,55,11,13,4,4,0
6341,55,1,23,2,2,0
6340,55,6,15,3,3,0
6339,55,4,42,1,1,3
6357,56,2,10,5,5,0
6356,56,5,0,9,9,0
6355,56,9,2,8,8,0
6354,56,3,8,6,6,0
6353,56,11,15,4,4,0
6352,56,1,33,2,2,0
6351,56,6,30,3,3,1
6350,56,4,51,1,1,3
6368,57,2,11,5,5,0
6367,57,5,0,9,9,0
6366,57,9,2,8,8,0
6365,57,3,10,6,6,0
6364,57,11,19,4,4,0
6363,57,1,38,3,3,0
6362,57,6,46,2,2,2
6361,57,4,62,1,1,3
6379,58,2,12,5,5,0
6378,58,5,0,9,9,0
6377,58,9,2,8,8,0
6376,58,3,10,6,6,0
6375,58,11,24,4,4,0
6374,58,1,42,3,3,0
6373,58,6,59,2,2,2
6372,58,4,78,1,1,4
6390,59,2,14,5,5,0
6389,59,5,0,9,9,0
6388,59,9,8,8,8,0
6387,59,3,10,6,6,0
6386,59,11,29,4,4,0
6385,59,1,50,3,3,0
6384,59,6,63,2,2,2
6383,59,4,91,1,1,5
6401,60,2,17,5,5,0
6400,60,5,0,9,9,0
6399,60,9,8,8,8,0
6398,60,3,10,6,6,0
6397,60,11,29,4,4,0
6396,60,1,59,3,3,0
6395,60,6,75,2,2,2
6394,60,4,106,1,1,6
6412,61,2,19,5,5,0
6411,61,5,0,9,9,0
6410,61,9,9,8,8,0
6409,61,3,10,7,7,0
6408,61,11,29,4,4,0
6407,61,1,65,3,3,0
6406,61,6,87,2,2,2
6405,61,4,121,1,1,7
6423,62,2,19,5,5,0
6422,62,5,1,9,9,0
6421,62,9,11,7,7,0
6420,62,3,10,8,8,0
6419,62,11,32,4,4,0
6418,62,1,65,3,3,0
6417,62,6,105,2,2,3
6416,62,4,131,1,1,7
6434,63,2,20,6,6,0
6433,63,5,1,9,9,0
6432,63,9,11,7,7,0
6431,63,3,10,8,8,0
6430,63,11,32,4,4,0
6429,63,1,71,3,3,0
6428,63,6,121,2,2,4
6427,63,4,142,1,1,7
6445,64,2,20,6,6,0
6444,64,5,1,9,9,0
6443,64,9,12,7,7,0
6442,64,3,10,8,8,0
6441,64,11,37,4,4,0
6440,64,1,77,3,3,0
6439,64,6,139,2,2,5
6438,64,4,149,1,1,7
6456,65,2,26,6,6,0
6455,65,5,1,9,9,0
6454,65,9,16,7,7,0
6453,65,3,10,8,8,0
6452,65,11,52,4,4,1
6451,65,1,85,3,3,0
6450,65,6,142,2,2,5
6449,65,4,149,1,1,7
6467,66,2,26,6,6,0
6466,66,5,1,9,9,0
6465,66,9,16,7,7,0
6464,66,3,10,8,8,0
6463,66,11,58,4,4,1
6462,66,1,89,3,3,0
6461,66,6,158,2,2,6
6460,66,4,160,1,1,7
6478,67,2,33,5,5,0
6477,67,5,1,9,9,0
6476,67,9,16,7,7,0
6475,67,3,10,8,8,0
6474,67,11,65,4,4,1
6473,67,1,97,3,3,0
6472,67,6,168,1,1,7
6471,67,4,165,2,2,7
6490,68,2,35,5,5,0
6489,68,5,1,9,9,0
6488,68,9,16,7,7,0
6487,68,3,11,8,8,0
6486,68,11,73,4,4,1
6485,68,1,101,3,3,0
6484,68,6,178,2,2,8
6483,68,4,179,1,1,7
6502,69,2,36,5,5,0
6501,69,5,1,9,9,0
6500,69,9,16,7,7,0
6499,69,3,11,8,8,0
6498,69,11,78,4,4,1
6497,69,1,105,3,3,0
6496,69,6,186,2,2,8
6495,69,4,195,1,1,8
6514,70,2,36,5,5,0
6513,70,5,1,9,9,0
6512,70,9,16,7,7,0
6511,70,3,11,8,8,0
6510,70,11,86,4,4,1
6509,70,1,110,3,3,0
6508,70,6,201,2,2,9
6507,70,4,206,1,1,8
567,71,4,16,1,1,1
568,71,6,8,2,2,0
569,71,9,7,3,3,0
570,71,3,4,4,4,0
571,71,1,4,5,5,0
573,71,15,0,7,7,0
574,71,17,0,8,8,0
575,71,18,0,9,9,0
576,72,4,26,1,1,2
577,72,6,10,4,4,0
578,72,9,11,3,3,0
579,72,3,10,5,5,0
580,72,1,9,6,6,0
582,72,15,0,7,7,0
583,72,17,0,8,8,0
584,72,18,0,9,9,0
1808,73,18,0,9,9,0
1807,73,17,0,8,8,0
1806,73,15,2,7,7,0
1804,73,1,19,3,3,0
1803,73,3,13,4,4,0
1802,73,9,12,5,5,0
1801,73,6,10,6,6,0
1800,73,4,36,1,1,3
1817,74,18,0,9,9,0
1816,74,17,0,8,8,0
1815,74,15,7,7,7,0
1813,74,1,25,3,3,0
1812,74,3,18,5,5,0
1811,74,9,13,6,6,0
1810,74,6,18,4,4,0
24516,75,17,0,8,8,0
24515,75,16,0,10,10,0
24514,75,15,7,7,7,0
24512,75,1,37,3,3,1
24511,75,3,21,4,4,0
24510,75,9,14,6,6,0
24509,75,6,18,5,5,0
24508,75,4,58,1,1,4
612,76,4,63,1,1,4
613,76,6,21,5,5,0
614,76,9,14,6,6,0
615,76,3,35,4,4,0
616,76,1,51,2,2,2
618,76,15,7,7,7,0
619,76,17,0,8,8,0
620,76,18,0,9,9,0
621,77,4,76,1,1,5
622,77,6,31,5,5,0
623,77,9,19,6,6,0
624,77,3,43,4,4,0
625,77,1,53,2,2,2
627,77,15,7,7,7,0
628,77,17,0,8,8,0
629,77,18,0,10,10,0
630,77,16,0,9,9,0
1827,78,16,0,9,9,0
1826,78,18,0,10,10,0
1825,78,17,0,8,8,0
1824,78,15,12,7,7,0
1822,78,1,63,2,2,3
1821,78,3,47,3,3,0
1820,78,9,22,6,6,0
1819,78,6,45,5,5,0
1818,78,4,76,1,1,5
1672,79,16,0,10,10,0
1671,79,18,7,9,9,0
1670,79,17,11,8,8,0
1669,79,15,12,7,7,0
1667,79,1,63,2,2,3
1666,79,3,47,4,4,0
1665,79,9,22,6,6,0
1664,79,6,63,3,3,1
1663,79,4,76,1,1,5
651,80,4,89,1,1,6
652,80,6,69,3,3,1
653,80,9,22,6,6,0
654,80,3,47,5,5,0
655,80,1,71,2,2,3
657,80,15,13,7,7,0
658,80,17,11,8,8,0
659,80,18,7,9,9,0
660,80,16,5,10,10,0
661,81,4,102,1,1,6
662,81,6,74,3,3,1
663,81,9,22,6,6,0
664,81,3,47,5,5,0
665,81,1,87,2,2,4
667,81,15,13,7,7,0
668,81,17,11,8,8,0
669,81,18,7,10,10,0
670,81,16,9,9,9,0
671,82,4,117,1,1,7
672,82,6,78,3,3,1
673,82,9,24,6,6,0
674,82,3,47,5,5,0
675,82,1,95,2,2,4
677,82,15,14,8,8,0
678,82,17,11,9,9,0
679,82,18,7,10,10,0
680,82,16,15,7,7,0
681,83,4,117,1,1,7
682,83,6,86,3,3,1
683,83,9,24,6,6,0
684,83,3,52,5,5,0
685,83,1,105,2,2,5
687,83,15,14,8,8,0
688,83,17,11,9,9,0
689,83,18,7,10,10,0
690,83,16,20,7,7,0
691,84,4,130,1,1,7
692,84,6,86,3,3,1
693,84,9,27,6,6,0
694,84,3,52,5,5,0
695,84,1,121,2,2,6
697,84,15,14,8,8,0
698,84,17,11,9,9,0
699,84,18,7,10,10,0
700,84,16,24,7,7,0
701,85,4,144,1,1,7
702,85,6,86,3,3,1
703,85,9,27,6,6,0
704,85,3,54,5,5,0
705,85,1,136,2,2,7
707,85,15,14,8,8,0
708,85,17,11,9,9,0
709,85,18,7,10,10,0
710,85,16,25,7,7,0
711,86,4,152,1,1,7
712,86,6,90,3,3,1
713,86,9,27,7,7,0
714,86,3,59,5,5,0
715,86,1,146,2,2,8
717,86,15,17,8,8,0
718,86,17,12,9,9,0
719,86,18,7,10,10,0
720,86,16,31,6,6,0
721,87,4,162,2,2,7
722,87,6,98,3,3,1
723,87,9,27,7,7,0
724,87,3,59,5,5,0
725,87,1,164,1,1,9
727,87,15,17,8,8,0
728,87,17,12,9,9,0
729,87,18,7,10,10,0
730,87,16,33,6,6,0
731,88,4,176,1,1,7
732,88,6,100,3,3,1
733,88,9,30,7,7,0
734,88,3,64,5,5,0
735,88,1,174,2,2,10
737,88,15,17,8,8,0
738,88,17,12,9,9,0
739,88,18,7,10,10,0
740,88,16,37,6,6,0
741,89,4,191,1,1,8
742,89,6,100,3,3,1
743,89,9,34,7,7,0
744,89,3,66,5,5,0
745,89,1,182,2,2,10
747,89,15,20,8,8,0
748,89,17,12,9,9,0
749,89,18,7,10,10,0
750,89,16,38,6,6,0
6146,90,17,0,9,9,0
6143,90,15,0,6,6,0
6142,90,1,1,5,5,0
6141,90,16,3,4,4,0
6140,90,3,9,2,2,0
6139,90,4,8,3,3,0
6138,90,6,18,1,1,1
6156,91,18,0,10,10,0
6155,91,17,0,9,9,0
6152,91,15,1,6,6,0
6151,91,1,4,5,5,0
6150,91,16,9,4,4,0
6149,91,3,17,2,2,0
6148,91,4,14,3,3,0
6147,91,6,33,1,1,2
6166,92,18,0,10,10,0
6165,92,17,0,9,9,0
6162,92,15,1,6,6,0
6161,92,1,4,5,5,0
6160,92,16,19,4,4,0
6159,92,3,19,3,3,0
6158,92,4,22,2,2,0
6157,92,6,51,1,1,3
6176,93,18,0,10,10,0
6175,93,17,0,9,9,0
6172,93,15,1,6,6,0
6171,93,1,5,5,5,0
6170,93,16,27,3,3,0
6169,93,3,27,4,4,0
6168,93,4,31,2,2,0
6167,93,6,64,1,1,4
6186,94,18,0,10,10,0
6185,94,17,0,9,9,0
6182,94,15,3,6,6,0
6181,94,1,5,5,5,0
6180,94,16,32,3,3,0
6179,94,3,30,4,4,0
6178,94,4,42,2,2,0
6177,94,6,82,1,1,5
6196,95,18,0,10,10,0
6195,95,17,2,8,8,0
6192,95,15,7,5,5,0
6191,95,1,5,6,6,0
6190,95,16,40,3,3,0
6189,95,3,35,4,4,0
6188,95,4,52,2,2,1
6187,95,6,88,1,1,5
6206,96,18,0,10,10,0
6205,96,17,2,9,9,0
6202,96,15,10,5,5,0
6201,96,1,5,6,6,0
6200,96,16,46,3,3,0
6199,96,3,36,4,4,0
6198,96,4,61,2,2,1
6197,96,6,106,1,1,6
6216,97,18,0,10,10,0
6215,97,17,5,7,7,0
6212,97,15,15,5,5,0
6211,97,1,12,6,6,0
6210,97,16,52,3,3,0
6209,97,3,36,4,4,0
6208,97,4,61,2,2,1
6207,97,6,124,1,1,7
6226,98,18,1,10,10,0
6225,98,17,5,8,8,0
6222,98,15,15,6,6,0
6221,98,1,17,5,5,0
6220,98,16,58,3,3,0
6219,98,3,36,4,4,0
6218,98,4,66,2,2,1
6217,98,6,142,1,1,8
6236,99,18,1,10,10,0
6235,99,17,5,8,8,0
6232,99,15,15,6,6,0
6231,99,1,22,5,5,0
6230,99,16,62,3,3,0
6229,99,3,37,4,4,0
6228,99,4,79,2,2,1
6227,99,6,158,1,1,9
6246,100,18,1,10,10,0
6245,100,17,5,8,8,0
6242,100,15,18,6,6,0
6241,100,1,32,5,5,0
6240,100,16,67,3,3,0
6239,100,3,41,4,4,0
6238,100,4,79,2,2,1
6237,100,6,174,1,1,10
6256,101,18,1,10,10,0
6255,101,17,5,9,9,0
6252,101,15,18,6,6,0
6251,101,1,37,5,5,0
6250,101,16,76,3,3,0
6249,101,3,47,4,4,0
6248,101,4,85,2,2,1
6247,101,6,184,1,1,11
6266,102,18,1,10,10,0
6265,102,17,5,9,9,0
6262,102,15,19,6,6,0
6261,102,1,37,5,5,0
6260,102,16,83,3,3,0
6259,102,3,54,4,4,0
6258,102,4,91,2,2,1
6257,102,6,202,1,1,12
6276,103,18,1,10,10,0
6275,103,17,5,9,9,0
6272,103,15,28,6,6,0
6271,103,1,49,5,5,1
6270,103,16,83,3,3,0
6269,103,3,54,4,4,0
6268,103,4,91,2,2,1
6267,103,6,216,1,1,12
6286,104,18,1,10,10,0
6285,104,17,5,9,9,0
6282,104,15,29,6,6,0
6281,104,1,52,5,5,1
6280,104,16,94,2,2,0
6279,104,3,60,4,4,0
6278,104,4,91,3,3,1
6277,104,6,234,1,1,13
6296,105,18,1,10,10,0
6295,105,17,5,9,9,0
6292,105,15,32,6,6,0
6291,105,1,58,5,5,1
6290,105,16,105,2,2,0
6289,105,3,64,4,4,0
6288,105,4,96,3,3,1
6287,105,6,244,1,1,14
6306,106,18,1,10,10,0
6305,106,17,5,9,9,0
6302,106,15,33,6,6,0
6301,106,1,61,5,5,1
6300,106,16,116,2,2,0
6299,106,3,74,4,4,0
6298,106,4,100,3,3,1
6297,106,6,254,1,1,15
6316,107,18,1,10,10,0
6315,107,17,5,9,9,0
6312,107,15,34,6,6,0
6311,107,1,69,5,5,1
6310,107,16,119,2,2,0
6309,107,3,88,4,4,1
6308,107,4,105,3,3,1
6307,107,6,262,1,1,15
5988,108,18,0,7,7,0
5987,108,16,0,6,6,0
5986,108,15,3,5,5,0
5985,108,4,6,3,3,0
5984,108,6,5,4,4,0
5983,108,3,9,2,2,0
5982,108,1,16,1,1,1
5996,109,17,0,7,7,0
5995,109,18,0,8,8,0
5994,109,16,2,6,6,0
5993,109,15,4,5,5,0
5992,109,4,16,3,3,0
5991,109,6,16,2,2,0
5990,109,3,14,4,4,0
5989,109,1,26,1,1,2
6005,110,17,10,5,5,1
6004,110,18,0,10,10,0
6003,110,16,5,7,7,0
6002,110,15,8,6,6,0
6001,110,4,23,2,2,0
6000,110,6,16,3,3,0
5999,110,3,16,4,4,0
5998,110,1,39,1,1,2
6015,111,17,10,5,5,1
6014,111,18,0,10,10,0
6013,111,16,6,7,7,0
6012,111,15,8,6,6,0
6011,111,4,26,3,3,0
6010,111,6,32,2,2,1
6009,111,3,23,4,4,0
6008,111,1,51,1,1,2
6025,112,17,11,5,5,1
6024,112,18,0,10,10,0
6023,112,16,6,7,7,0
6022,112,15,8,6,6,0
6021,112,4,34,3,3,0
6020,112,6,48,2,2,2
6019,112,3,32,4,4,0
6018,112,1,51,1,1,2
6035,113,17,11,5,5,1
6034,113,18,0,10,10,0
6033,113,16,11,6,6,0
6032,113,15,8,7,7,0
6031,113,4,35,3,3,0
6030,113,6,64,1,1,3
6029,113,3,35,4,4,0
6028,113,1,63,2,2,2
6045,114,17,11,5,5,1
6044,114,18,0,10,10,0
6043,114,16,11,6,6,0
6042,114,15,8,7,7,0
6041,114,4,42,4,4,0
6040,114,6,71,2,2,3
6039,114,3,50,3,3,1
6038,114,1,73,1,1,2
6055,115,17,11,5,5,1
6054,115,18,0,10,10,0
6053,115,16,11,6,6,0
6052,115,15,8,7,7,0
6051,115,4,47,4,4,0
6050,115,6,85,1,1,4
6049,115,3,64,3,3,1
6048,115,1,76,2,2,2
6065,116,17,11,6,6,1
6064,116,18,0,10,10,0
6063,116,16,13,5,5,0
6062,116,15,9,7,7,0
6061,116,4,52,4,4,0
6060,116,6,95,1,1,4
6059,116,3,82,2,2,2
6058,116,1,76,3,3,2
6075,117,17,11,7,7,1
6074,117,18,0,10,10,0
6073,117,16,13,5,5,0
6072,117,15,9,8,8,0
6071,117,4,52,4,4,0
6070,117,6,103,1,1,4
6069,117,3,100,2,2,3
6068,117,1,85,3,3,2
6085,118,17,11,7,7,1
6084,118,18,0,10,10,0
6083,118,16,14,5,5,0
6082,118,15,9,8,8,0
6081,118,4,55,4,4,0
6080,118,6,118,1,1,5
6079,118,3,108,2,2,3
6078,118,1,95,3,3,2
6095,119,17,11,8,8,1
6094,119,18,0,10,10,0
6093,119,16,15,5,5,0
6092,119,15,9,9,9,0
6091,119,4,66,4,4,0
6090,119,6,120,1,1,5
6089,119,3,118,2,2,4
6088,119,1,103,3,3,2
6105,120,17,11,8,8,1
6104,120,18,0,10,10,0
6103,120,16,15,5,5,0
6102,120,15,9,9,9,0
6101,120,4,78,4,4,1
6100,120,6,121,2,2,5
6099,120,3,129,1,1,4
6098,120,1,115,3,3,2
6115,121,17,11,8,8,1
6114,121,18,0,10,10,0
6113,121,16,18,5,5,0
6112,121,15,9,9,9,0
6111,121,4,79,4,4,1
6110,121,6,137,2,2,6
6109,121,3,141,1,1,4
6108,121,1,120,3,3,2
6125,122,17,13,9,9,1
6124,122,18,0,10,10,0
6123,122,16,18,6,6,0
6122,122,15,19,5,5,0
6121,122,4,84,4,4,1
6120,122,6,147,1,1,7
6119,122,3,144,2,2,4
6118,122,1,128,3,3,2
6135,123,17,13,9,9,1
6134,123,18,0,10,10,0
6133,123,16,26,5,5,0
6132,123,15,19,6,6,0
6131,123,4,88,4,4,1
6130,123,6,158,1,1,8
6129,123,3,144,2,2,4
6128,123,1,142,3,3,2
5804,124,18,2,5,5,0
5802,124,1,4,3,3,0
5801,124,3,6,2,2,0
5800,124,6,10,1,1,1
5816,125,21,0,11,11,0
5815,125,17,0,10,10,0
5814,125,16,0,9,9,0
5813,125,15,3,6,6,0
5812,125,4,3,5,5,0
5810,125,18,2,7,7,0
5808,125,1,4,3,3,0
5807,125,3,22,1,1,1
5806,125,6,14,2,2,1
5827,126,21,0,11,11,0
5826,126,17,0,10,10,0
5825,126,16,0,9,9,0
5824,126,15,3,6,6,0
5823,126,4,6,4,4,0
5821,126,18,2,7,7,0
5819,126,1,8,3,3,0
5818,126,3,30,1,1,1
5817,126,6,24,2,2,2
5838,127,21,0,11,11,0
5837,127,17,0,10,10,0
5836,127,16,0,9,9,0
5835,127,15,3,6,6,0
5834,127,4,8,4,4,0
5832,127,18,2,7,7,0
5830,127,1,9,3,3,0
5829,127,3,37,2,2,1
5828,127,6,40,1,1,3
5849,128,21,1,9,9,0
5848,128,17,0,11,11,0
5847,128,16,0,10,10,0
5846,128,15,8,5,5,0
5845,128,4,8,4,4,0
5843,128,18,2,7,7,0
5841,128,1,13,3,3,0
5840,128,3,43,2,2,1
5839,128,6,50,1,1,4
5860,129,21,1,10,10,0
5859,129,17,2,8,8,0
5858,129,16,0,11,11,0
5857,129,15,8,5,5,0
5856,129,4,8,4,4,0
5854,129,18,2,7,7,0
5852,129,1,14,3,3,0
5851,129,3,50,2,2,1
5850,129,6,66,1,1,5
5871,130,21,2,10,10,0
5870,130,17,4,6,6,0
5869,130,16,0,11,11,0
5868,130,15,8,5,5,0
5867,130,4,11,4,4,0
5865,130,18,2,8,8,0
5863,130,1,24,3,3,1
5862,130,3,54,2,2,1
5861,130,6,72,1,1,5
5882,131,21,2,10,10,0
5881,131,17,6,6,6,0
5880,131,16,0,11,11,0
5879,131,15,8,5,5,0
5878,131,4,12,4,4,0
5876,131,18,2,8,8,0
5874,131,1,33,3,3,1
5873,131,3,54,2,2,1
5872,131,6,86,1,1,6
5893,132,21,2,10,10,0
5892,132,17,6,6,6,0
5891,132,16,0,11,11,0
5890,132,15,9,5,5,0
5889,132,4,14,4,4,0
5887,132,18,2,8,8,0
5885,132,1,37,3,3,1
5884,132,3,57,2,2,1
5883,132,6,102,1,1,7
5904,133,21,2,11,11,0
5903,133,17,6,6,6,0
5902,133,16,5,7,7,0
5901,133,15,10,5,5,0
5900,133,4,14,4,4,0
5898,133,18,2,9,9,0
5896,133,1,37,3,3,1
5895,133,3,61,2,2,1
5894,133,6,118,1,1,8
5915,134,21,2,11,11,0
5914,134,17,6,6,6,0
5913,134,16,5,7,7,0
5912,134,15,10,5,5,0
5911,134,4,15,4,4,0
5909,134,18,2,9,9,0
5907,134,1,47,3,3,1
5906,134,3,66,2,2,1
5905,134,6,128,1,1,9
5926,135,21,2,11,11,0
5925,135,17,6,6,6,0
5924,135,16,5,7,7,0
5923,135,15,11,5,5,0
5922,135,4,15,4,4,0
5920,135,18,2,9,9,0
5918,135,1,49,3,3,1
5917,135,3,76,2,2,1
5916,135,6,141,1,1,10
5937,136,21,2,11,11,0
5936,136,17,7,6,6,0
5935,136,16,5,7,7,0
5934,136,15,11,5,5,0
5933,136,4,15,4,4,0
